172.23.72.44;2023-10-23 12:35:40.583637;-20.452588591;-43.924789160
172.23.72.44;2023-10-23 10:32:01.404932;Erro;Erro;
172.23.72.44;2023-10-23 10:32:34.172567;Erro;Erro;
172.23.72.44;2023-10-23 10:33:43.804755;Erro;Erro;
172.23.72.44;2023-10-23 10:34:20.669189;Erro;Erro;
172.23.72.44;2023-10-23 10:34:55.484900;Erro;Erro;
172.23.72.44;2023-10-23 10:35:28.252938;Erro;Erro;
172.23.72.44;2023-10-23 10:36:01.020753;Erro;Erro;
172.23.72.44;2023-10-23 10:36:35.837569;Erro;Erro;
172.23.72.44;2023-10-23 10:37:08.605172;Erro;Erro;
172.23.72.44;2023-10-23 10:37:45.469913;Erro;Erro;
172.23.72.44;2023-10-23 10:38:20.284895;Erro;Erro;
172.23.72.44;2023-10-23 10:38:53.052953;Erro;Erro;
172.23.72.44;2023-10-23 10:39:27.868952;Erro;Erro;
172.23.72.44;2023-10-23 10:40:00.636909;Erro;Erro;
172.23.72.44;2023-10-23 10:40:35.452642;Erro;Erro;
172.23.72.44;2023-10-23 10:41:10.280554;Erro;Erro;
172.23.72.44;2023-10-23 10:41:43.036906;Erro;Erro;
172.23.72.44;2023-10-23 10:42:19.908900;Erro;Erro;
172.23.72.44;2023-10-23 10:42:52.668939;Erro;Erro;
172.23.72.44;2023-10-23 10:43:25.436907;Erro;Erro;
172.23.72.44;2023-10-23 10:44:00.252888;Erro;Erro;
172.23.72.44;2023-10-23 10:44:33.020884;Erro;Erro;
172.23.72.44;2023-10-23 10:45:07.844602;Erro;Erro;
172.23.72.44;2023-10-23 10:45:42.652906;Erro;Erro;
172.23.72.44;2023-10-23 10:46:17.468916;Erro;Erro;
172.23.72.44;2023-10-23 10:46:54.340653;Erro;Erro;
172.23.72.44;2023-10-23 10:47:27.100932;Erro;Erro;
172.23.72.44;2023-10-23 10:47:59.868889;Erro;Erro;
172.23.72.44;2023-10-23 10:48:34.684775;Erro;Erro;
172.23.72.44;2023-10-23 10:49:07.453080;Erro;Erro;
172.23.72.44;2023-10-23 10:49:42.268904;Erro;Erro;
172.23.72.44;2023-10-23 10:50:19.140858;Erro;Erro;
172.23.72.44;2023-10-23 10:50:53.952885;Erro;Erro;
172.23.72.44;2023-10-23 10:51:26.724889;Erro;Erro;
172.23.72.44;2023-10-23 10:51:59.484767;Erro;Erro;
172.23.72.44;2023-10-23 10:52:34.300584;Erro;Erro;
172.23.72.44;2023-10-23 10:53:09.116870;Erro;Erro;
172.23.72.44;2023-10-23 10:53:41.884691;Erro;Erro;
172.23.72.44;2023-10-23 10:54:18.748936;Erro;Erro;
172.23.72.44;2023-10-23 10:54:51.516907;Erro;Erro;
172.23.72.44;2023-10-23 10:55:26.332917;Erro;Erro;
172.23.72.44;2023-10-23 10:56:01.156859;Erro;Erro;
172.23.72.44;2023-10-23 10:56:35.976661;Erro;Erro;
172.23.72.44;2023-10-23 10:57:08.732728;Erro;Erro;
172.23.72.44;2023-10-23 10:57:43.548958;Erro;Erro;
172.23.72.44;2023-10-23 10:58:20.412912;Erro;Erro;
172.23.72.44;2023-10-23 10:58:53.192644;Erro;Erro;
172.23.72.44;2023-10-23 10:59:25.948739;Erro;Erro;
172.23.72.44;2023-10-23 11:00:00.764758;Erro;Erro;
172.23.72.44;2023-10-23 11:00:35.580585;Erro;Erro;
172.23.72.44;2023-10-23 11:01:08.349187;Erro;Erro;
172.23.72.44;2023-10-23 11:01:43.164913;Erro;Erro;
172.23.72.44;2023-10-23 11:02:17.980943;Erro;Erro;
172.23.72.44;2023-10-23 11:02:50.748606;Erro;Erro;
172.23.72.44;2023-10-23 11:03:25.576643;Erro;Erro;
172.23.72.44;2023-10-23 11:03:58.332896;Erro;Erro;
