172.23.72.224;2022-12-16 10:29:56.597936;-20.482887222;-43.916741814
172.23.72.224;2022-12-16 10:30:42.310384;0.000000000;0.000000000
172.23.72.224;2022-12-16 10:33:07.460093;Erro;Erro;
172.23.72.224;2022-12-16 10:33:13.351825;-20.482758628;-43.916546528
172.23.72.224;2022-12-16 10:33:28.334533;-20.482773716;-43.916521794
172.23.72.224;2022-12-16 10:33:32.060848;-20.482774989;-43.916520482
172.23.72.224;2022-12-16 10:33:38.172192;Erro;Erro;
172.23.72.224;2022-12-16 10:33:58.560705;-20.482777822;-43.916501100
172.23.72.224;2022-12-16 10:34:06.856071;Erro;Erro;
172.23.72.224;2022-12-16 10:34:28.855923;-20.482777581;-43.916499647
172.23.72.224;2022-12-16 10:34:59.052754;-20.482764335;-43.916536399
172.23.72.224;2022-12-16 10:35:29.344708;-20.482760817;-43.916545218
172.23.72.224;2022-12-16 10:35:59.615273;-20.482758229;-43.916548807
172.23.72.224;2022-12-16 10:36:29.880524;-20.482755852;-43.916550114
172.23.72.224;2022-12-16 10:37:00.147929;-20.482754080;-43.916551634
172.23.72.224;2022-12-16 10:37:30.390216;-20.482752907;-43.916553481
172.23.72.224;2022-12-16 10:38:00.684591;-20.482751922;-43.916556031
172.23.72.224;2022-12-16 10:38:30.915858;-20.482746513;-43.916586932
172.23.72.224;2022-12-16 10:39:01.133605;-20.482745272;-43.916593178
172.23.72.224;2022-12-16 10:39:31.385653;-20.482747010;-43.916594220
172.23.72.224;2022-12-16 10:40:01.537984;-20.482746338;-43.916591627
172.23.72.224;2022-12-16 10:40:31.860867;-20.482743365;-43.916589128
172.23.72.224;2022-12-16 10:41:02.104202;-20.482742570;-43.916589205
172.23.72.224;2022-12-16 10:41:32.203964;-20.482741455;-43.916589297
172.23.72.224;2022-12-16 10:42:02.615879;-20.482763522;-43.916619208
172.23.72.224;2022-12-16 10:42:32.870416;-20.482779443;-43.916643082
172.23.72.224;2022-12-16 10:43:02.943027;-20.482782318;-43.916649272
172.23.72.224;2022-12-16 10:43:33.272017;-20.482782775;-43.916650983
172.23.72.224;2022-12-16 10:44:03.535637;-20.482781867;-43.916650772
172.23.72.224;2022-12-16 10:44:33.781867;-20.482780595;-43.916649717
172.23.72.224;2022-12-16 10:45:04.068442;-20.482779248;-43.916648656
172.23.72.224;2022-12-16 10:45:34.277099;-20.482778519;-43.916647967
172.23.72.224;2022-12-16 10:46:04.677780;-20.482766736;-43.916636436
172.23.72.224;2022-12-16 10:46:34.861938;-20.482743551;-43.916604733
172.23.72.224;2022-12-16 10:47:05.018806;-20.482742015;-43.916602541
172.23.72.224;2022-12-16 10:47:35.349430;-20.482722075;-43.916578410
172.23.72.224;2022-12-16 10:48:05.684044;-20.482715278;-43.916571695
172.23.72.224;2022-12-16 10:48:35.880213;-20.482715918;-43.916571094
172.23.72.224;2022-12-16 10:49:06.112042;-20.482718156;-43.916571880
172.23.72.224;2022-12-16 10:49:36.387271;-20.482748554;-43.916579314
172.23.72.224;2022-12-16 10:50:06.586913;-20.482757320;-43.916578354
172.23.72.224;2022-12-16 10:50:36.764813;-20.482757342;-43.916580072
172.23.72.224;2022-12-16 10:51:07.084385;-20.482757047;-43.916586785
172.23.72.224;2022-12-16 10:51:37.372951;-20.482756054;-43.916597327
172.23.72.224;2022-12-16 10:52:07.517359;-20.482752545;-43.916601726
172.23.72.224;2022-12-16 10:52:37.724980;-20.482746926;-43.916602571
172.23.72.224;2022-12-16 10:53:07.933413;-20.482744688;-43.916600381
172.23.72.224;2022-12-16 10:53:38.279986;-20.482742840;-43.916598890
172.23.72.224;2022-12-16 10:54:08.485733;-20.482742076;-43.916597760
172.23.72.224;2022-12-16 10:54:38.877658;-20.482740932;-43.916596883
172.23.72.224;2022-12-16 10:55:08.927511;-20.482734649;-43.916587134
172.23.72.224;2022-12-16 10:55:39.227707;-20.482731788;-43.916585561
172.23.72.224;2022-12-16 10:56:09.494675;-20.482730225;-43.916585084
172.23.72.224;2022-12-16 10:56:39.908714;-20.482729330;-43.916584672
172.23.72.224;2022-12-16 10:59:20.312185;Erro;Erro;
172.23.72.224;2022-12-16 10:59:51.032162;Erro;Erro;
172.23.72.224;2022-12-16 11:00:21.752177;Erro;Erro;
172.23.72.224;2022-12-16 11:00:50.436126;Erro;Erro;
172.23.72.224;2022-12-16 11:01:21.146386;Erro;Erro;
172.23.72.224;2022-12-16 11:01:51.876081;Erro;Erro;
172.23.72.224;2022-12-16 11:02:22.596130;Erro;Erro;
172.23.72.224;2022-12-16 11:02:51.268089;Erro;Erro;
172.23.72.224;2022-12-16 11:03:21.980155;Erro;Erro;
172.23.72.224;2022-12-16 11:03:52.701000;Erro;Erro;
172.23.72.224;2022-12-16 11:04:23.424136;Erro;Erro;
172.23.72.224;2022-12-16 11:04:54.136188;Erro;Erro;
172.23.72.224;2022-12-16 11:05:22.832119;Erro;Erro;
172.23.72.224;2022-12-16 11:05:53.532144;Erro;Erro;
172.23.72.224;2022-12-16 11:06:24.248187;Erro;Erro;
172.23.72.224;2022-12-16 11:06:54.968191;Erro;Erro;
172.23.72.224;2022-12-16 11:07:23.640213;Erro;Erro;
172.23.72.224;2022-12-16 11:07:54.376149;Erro;Erro;
172.23.72.224;2022-12-16 11:08:15.708673;-20.482718204;-43.916610703
172.23.72.224;2022-12-16 11:08:16.918578;-20.482716590;-43.916612339
172.23.72.224;2022-12-16 11:08:18.959404;-20.482714616;-43.916614164
172.23.72.224;2022-12-16 11:08:25.080767;Erro;Erro;
172.23.72.224;2022-12-16 11:08:45.896236;-20.482744424;-43.916591115
172.23.72.224;2022-12-16 11:08:55.812124;Erro;Erro;
172.23.72.224;2022-12-16 11:09:16.224317;-20.482741596;-43.916590561
172.23.72.224;2022-12-16 11:09:46.633375;-20.482737609;-43.916593841
172.23.72.224;2022-12-16 11:10:16.787871;-20.482732757;-43.916600398
172.23.72.224;2022-12-16 11:10:47.092833;-20.482732848;-43.916600736
172.23.72.224;2022-12-16 11:11:17.290612;-20.482739471;-43.916596869
172.23.72.224;2022-12-16 11:11:47.580698;-20.482745268;-43.916591821
172.23.72.224;2022-12-16 11:12:17.678961;-20.482747036;-43.916588286
172.23.72.224;2022-12-16 11:12:48.033145;-20.482747404;-43.916586138
