172.23.72.144;2022-12-16 10:29:26.331475;-20.464216262;-43.932872989
172.23.72.144;2022-12-16 10:29:56.596228;-20.465962689;-43.932430882
172.23.72.144;2022-12-16 10:30:26.813408;-20.467558837;-43.932523049
172.23.72.144;2022-12-16 10:30:57.093892;-20.467923912;-43.931327841
172.23.72.144;2022-12-16 10:31:27.254883;-20.466212394;-43.930254239
172.23.72.144;2022-12-16 10:31:57.784819;-20.464334340;-43.929230909
172.23.72.144;2022-12-16 10:32:27.886418;-20.463276486;-43.928722983
172.23.72.144;2022-12-16 10:32:58.192681;-20.461760917;-43.927584704
172.23.72.144;2022-12-16 10:33:28.340470;-20.461329811;-43.925519105
172.23.72.144;2022-12-16 10:33:58.551307;-20.462272909;-43.925339487
172.23.72.144;2022-12-16 10:34:29.258623;-20.463798540;-43.925907837
172.23.72.144;2022-12-16 10:34:59.134835;-20.465311130;-43.926253216
172.23.72.144;2022-12-16 10:35:30.460404;-20.466409147;-43.925392579
172.23.72.144;2022-12-16 10:35:59.709875;-20.466596913;-43.923889136
172.23.72.144;2022-12-16 10:36:29.790379;-20.467677121;-43.923564724
172.23.72.144;2022-12-16 10:37:00.298262;-20.468868360;-43.923605170
172.23.72.144;2022-12-16 10:37:30.422508;-20.470032347;-43.923626098
172.23.72.144;2022-12-16 10:38:00.704637;-20.471292369;-43.923767339
172.23.72.144;2022-12-16 10:38:30.899514;-20.472886960;-43.923801945
172.23.72.144;2022-12-16 10:39:01.061673;-20.474511421;-43.922955320
172.23.72.144;2022-12-16 10:39:31.453348;-20.475189219;-43.921042835
172.23.72.144;2022-12-16 10:40:01.581162;-20.474911958;-43.919683319
172.23.72.144;2022-12-16 10:40:31.784393;-20.475353765;-43.919410875
172.23.72.144;2022-12-16 10:41:02.078710;-20.475923142;-43.918972794
172.23.72.144;2022-12-16 10:41:32.272315;-20.475729986;-43.918934257
172.23.72.144;2022-12-16 10:42:02.466952;-20.475727335;-43.918919340
172.23.72.144;2022-12-16 10:42:32.831681;-20.475747554;-43.918999820
172.23.72.144;2022-12-16 10:43:02.991112;-20.475686390;-43.919259362
172.23.72.144;2022-12-16 10:43:33.254642;-20.475212942;-43.919470116
172.23.72.144;2022-12-16 10:44:03.482645;-20.474638673;-43.919939993
172.23.72.144;2022-12-16 10:44:33.756115;-20.475185903;-43.921307695
172.23.72.144;2022-12-16 10:45:03.960367;-20.473863437;-43.923298963
172.23.72.144;2022-12-16 10:45:34.570277;-20.472034917;-43.923700264
172.23.72.144;2022-12-16 10:46:04.546131;-20.470091797;-43.923530342
172.23.72.144;2022-12-16 10:46:34.797601;-20.468665027;-43.923489354
172.23.72.144;2022-12-16 10:47:05.110116;-20.467495927;-43.923449276
172.23.72.144;2022-12-16 10:47:35.288846;-20.466807253;-43.923468688
172.23.72.144;2022-12-16 10:48:05.562124;-20.467916432;-43.924574013
172.23.72.144;2022-12-16 10:48:35.749739;-20.469422111;-43.926370363
172.23.72.144;2022-12-16 10:49:06.075251;-20.470378683;-43.928069915
172.23.72.144;2022-12-16 10:49:36.366461;-20.471805590;-43.929497391
172.23.72.144;2022-12-16 10:50:06.577983;-20.473454881;-43.930511996
172.23.72.144;2022-12-16 10:50:37.000459;-20.472315159;-43.932266729
172.23.72.144;2022-12-16 10:51:06.970884;-20.470200952;-43.932303569
172.23.72.144;2022-12-16 10:51:37.338174;-20.468131674;-43.932402740
172.23.72.144;2022-12-16 10:52:07.469012;-20.466338558;-43.932222957
172.23.72.144;2022-12-16 10:52:37.691526;-20.464638734;-43.932637646
172.23.72.144;2022-12-16 10:53:09.277031;-20.462873485;-43.932509796
172.23.72.144;2022-12-16 10:53:38.225570;-20.460829924;-43.932604295
172.23.72.144;2022-12-16 10:54:08.473760;-20.458779561;-43.933617876
172.23.72.144;2022-12-16 10:54:38.725920;-20.458264830;-43.933557331
172.23.72.144;2022-12-16 10:55:08.919052;-20.458182983;-43.933774669
172.23.72.144;2022-12-16 10:55:39.187436;-20.458182995;-43.933774657
172.23.72.144;2022-12-16 10:56:09.352197;-20.458182598;-43.933774713
172.23.72.144;2022-12-16 10:56:39.892476;-20.458182791;-43.933775051
172.23.72.144;2022-12-16 10:57:10.086785;-20.458196688;-43.933754679
172.23.72.144;2022-12-16 10:57:40.451903;-20.459700983;-43.933051820
