172.23.72.154;2022-12-16 10:34:37.560173;Erro;Erro;
172.23.72.154;2022-12-16 10:35:08.280188;Erro;Erro;
172.23.72.154;2022-12-16 10:35:39.012077;Erro;Erro;
172.23.72.154;2022-12-16 10:36:09.720116;Erro;Erro;
172.23.72.154;2022-12-16 10:36:38.392171;Erro;Erro;
172.23.72.154;2022-12-16 10:37:09.112171;Erro;Erro;
172.23.72.154;2022-12-16 10:37:39.836200;Erro;Erro;
172.23.72.154;2022-12-16 10:38:10.556205;Erro;Erro;
172.23.72.154;2022-12-16 10:38:39.232090;Erro;Erro;
172.23.72.154;2022-12-16 10:39:09.948123;Erro;Erro;
172.23.72.154;2022-12-16 10:39:40.679823;Erro;Erro;
172.23.72.154;2022-12-16 10:40:11.392130;Erro;Erro;
172.23.72.154;2022-12-16 10:40:40.056149;Erro;Erro;
172.23.72.154;2022-12-16 10:41:10.780239;Erro;Erro;
172.23.72.154;2022-12-16 10:41:41.512076;Erro;Erro;
172.23.72.154;2022-12-16 10:42:12.228180;Erro;Erro;
172.23.72.154;2022-12-16 10:42:40.888124;Erro;Erro;
172.23.72.154;2022-12-16 10:43:11.616109;Erro;Erro;
172.23.72.154;2022-12-16 10:43:42.340063;Erro;Erro;
172.23.72.154;2022-12-16 10:44:13.056082;Erro;Erro;
172.23.72.154;2022-12-16 10:44:43.768288;Erro;Erro;
172.23.72.154;2022-12-16 10:45:12.440156;Erro;Erro;
172.23.72.154;2022-12-16 10:45:43.160170;Erro;Erro;
172.23.72.154;2022-12-16 10:46:13.896137;Erro;Erro;
172.23.72.154;2022-12-16 10:46:44.608872;Erro;Erro;
172.23.72.154;2022-12-16 10:47:13.272146;Erro;Erro;
172.23.72.154;2022-12-16 10:47:44.000130;Erro;Erro;
172.23.72.154;2022-12-16 10:48:14.716255;Erro;Erro;
172.23.72.154;2022-12-16 10:48:45.440111;Erro;Erro;
172.23.72.154;2022-12-16 10:49:16.152117;Erro;Erro;
172.23.72.154;2022-12-16 10:49:44.832135;Erro;Erro;
172.23.72.154;2022-12-16 10:50:15.552147;Erro;Erro;
172.23.72.154;2022-12-16 10:50:46.264130;Erro;Erro;
172.23.72.154;2022-12-16 10:51:16.992084;Erro;Erro;
172.23.72.154;2022-12-16 10:51:45.660175;Erro;Erro;
172.23.72.154;2022-12-16 10:52:16.384655;Erro;Erro;
172.23.72.154;2022-12-16 10:52:47.120102;Erro;Erro;
172.23.72.154;2022-12-16 10:53:17.816557;Erro;Erro;
172.23.72.154;2022-12-16 10:53:46.488103;Erro;Erro;
172.23.72.154;2022-12-16 10:54:17.224095;Erro;Erro;
172.23.72.154;2022-12-16 10:54:47.928122;Erro;Erro;
172.23.72.154;2022-12-16 10:55:18.664119;Erro;Erro;
172.23.72.154;2022-12-16 10:55:49.368136;Erro;Erro;
172.23.72.154;2022-12-16 10:56:18.048151;Erro;Erro;
172.23.72.154;2022-12-16 10:56:48.760095;Erro;Erro;
172.23.72.154;2022-12-16 10:57:19.496141;Erro;Erro;
172.23.72.154;2022-12-16 10:57:50.200214;Erro;Erro;
172.23.72.154;2022-12-16 10:58:18.872228;Erro;Erro;
172.23.72.154;2022-12-16 10:58:49.600098;Erro;Erro;
172.23.72.154;2022-12-16 10:59:20.324101;Erro;Erro;
172.23.72.154;2022-12-16 10:59:26.588707;0.000000000;0.000000000
172.23.72.154;2022-12-16 10:59:41.386211;-20.461161327;-43.923180153
172.23.72.154;2022-12-16 10:59:44.917093;-20.461162256;-43.923180372
172.23.72.154;2022-12-16 10:59:51.032104;Erro;Erro;
172.23.72.154;2022-12-16 11:00:11.511778;-20.461167748;-43.923182010
172.23.72.154;2022-12-16 11:00:19.704089;Erro;Erro;
172.23.72.154;2022-12-16 11:00:41.791058;-20.461169442;-43.923182491
172.23.72.154;2022-12-16 11:01:12.196637;-20.461169214;-43.923182880
172.23.72.154;2022-12-16 11:01:42.403187;-20.461169042;-43.923183703
172.23.72.154;2022-12-16 11:02:12.699254;-20.461169004;-43.923183925
172.23.72.154;2022-12-16 11:02:43.125093;-20.461169120;-43.923183812
172.23.72.154;2022-12-16 11:03:13.170160;-20.460997235;-43.923284624
172.23.72.154;2022-12-16 11:03:43.648063;-20.460593867;-43.923616446
172.23.72.154;2022-12-16 11:04:13.712873;-20.460583408;-43.924564461
172.23.72.154;2022-12-16 11:04:44.021756;-20.461035220;-43.924937659
172.23.72.154;2022-12-16 11:05:14.117312;-20.464148135;-43.925996622
172.23.72.154;2022-12-16 11:05:44.337519;-20.466402056;-43.925632462
172.23.72.154;2022-12-16 11:06:14.551972;-20.466725724;-43.923744791
172.23.72.154;2022-12-16 11:06:44.970429;-20.468650195;-43.923452626
172.23.72.154;2022-12-16 11:07:15.141798;-20.472202221;-43.923870597
172.23.72.154;2022-12-16 11:07:45.392075;-20.475057193;-43.922427469
172.23.72.154;2022-12-16 11:08:15.698335;-20.474114938;-43.919343152
172.23.72.154;2022-12-16 11:08:45.888568;-20.474403011;-43.915881523
172.23.72.154;2022-12-16 11:09:16.185762;-20.472961084;-43.912590432
172.23.72.154;2022-12-16 11:09:46.543821;-20.471740593;-43.910101406
172.23.72.154;2022-12-16 11:10:16.746718;-20.470242152;-43.911107666
172.23.72.154;2022-12-16 11:10:47.024749;-20.468812862;-43.914251767
172.23.72.154;2022-12-16 11:11:17.397003;-20.468761066;-43.917273354
172.23.72.154;2022-12-16 11:11:47.484179;-20.469379659;-43.916877379
172.23.72.154;2022-12-16 11:12:17.741656;-20.469464414;-43.916654390
172.23.72.154;2022-12-16 11:12:48.020678;-20.469311474;-43.916690389
172.23.72.154;2022-12-16 11:13:18.243391;-20.469310648;-43.916689218
172.23.72.154;2022-12-16 11:13:48.503521;-20.469311317;-43.916687235
172.23.72.154;2022-12-16 11:14:18.725787;-20.469311427;-43.916686706
172.23.72.154;2022-12-16 11:14:49.093289;-20.469310769;-43.916686656
172.23.72.154;2022-12-16 11:15:19.372789;-20.469310380;-43.916686090
172.23.72.154;2022-12-16 11:15:49.576082;-20.469310140;-43.916685587
172.23.72.154;2022-12-16 11:16:19.901515;-20.469337771;-43.916716360
172.23.72.154;2022-12-16 11:16:50.125864;-20.469315557;-43.917348748
172.23.72.154;2022-12-16 11:17:20.299567;-20.468650840;-43.917044243
172.23.72.154;2022-12-16 11:17:50.402812;-20.468229953;-43.916375160
172.23.72.154;2022-12-16 11:18:20.711018;-20.468054227;-43.915386793
172.23.72.154;2022-12-16 11:18:51.016911;-20.468696632;-43.914342195
172.23.72.154;2022-12-16 11:19:21.368416;-20.469163104;-43.913316653
172.23.72.154;2022-12-16 11:19:51.526423;-20.469573446;-43.912390466
172.23.72.154;2022-12-16 11:20:22.057224;-20.470062779;-43.911571171
172.23.72.154;2022-12-16 11:20:52.411370;-20.470557246;-43.910613471
172.23.72.154;2022-12-16 11:21:22.519992;-20.471176219;-43.909719043
172.23.72.154;2022-12-16 11:21:52.661343;-20.471811713;-43.910466418
172.23.72.154;2022-12-16 11:22:23.191593;-20.472182576;-43.911241335
172.23.72.154;2022-12-16 11:22:53.147877;-20.472601076;-43.911918463
172.23.72.154;2022-12-16 11:23:23.614583;-20.473061712;-43.912761613
172.23.72.154;2022-12-16 11:23:54.068246;-20.474040580;-43.914375007
172.23.72.154;2022-12-16 11:24:24.426384;-20.474447928;-43.915443560
172.23.72.154;2022-12-16 11:24:54.239079;-20.474292885;-43.916245247
172.23.72.154;2022-12-16 11:25:24.390691;-20.473851561;-43.916986545
172.23.72.154;2022-12-16 11:25:54.891762;-20.473906215;-43.917923146
172.23.72.154;2022-12-16 11:26:24.977942;-20.473963434;-43.918776559
172.23.72.154;2022-12-16 11:26:55.301639;-20.474085319;-43.919676204
172.23.72.154;2022-12-16 11:27:25.377055;-20.475147358;-43.920155747
172.23.72.154;2022-12-16 11:27:58.957115;-20.477147619;-43.918914519
172.23.72.154;2022-12-16 11:28:25.853740;-20.477600606;-43.918721893
172.23.72.154;2022-12-16 11:28:56.208587;-20.477439727;-43.918912642
