172.23.72.114;2022-12-15 10:19:29.316846;-20.458076276;-43.931557883
172.23.72.114;2022-12-16 09:39:32.529513;Erro;Erro;
172.23.72.114;2022-12-16 09:42:03.641528;Erro;Erro;
172.23.72.114;2022-12-16 09:42:44.043948;Erro;Erro;
172.23.72.114;2022-12-16 09:43:12.025855;Erro;Erro;
172.23.72.114;2022-12-16 09:43:33.752388;Erro;Erro;
172.23.72.114;2022-12-16 09:44:04.476397;Erro;Erro;
172.23.72.114;2022-12-16 09:44:41.384966;Erro;Erro;
172.23.72.114;2022-12-16 09:45:14.902268;Erro;Erro;
172.23.72.114;2022-12-16 09:46:28.882357;Erro;Erro;
172.23.72.114;2022-12-16 09:47:51.801719;Erro;Erro;
172.23.72.114;2022-12-16 09:48:43.676061;Erro;Erro;
172.23.72.114;2022-12-16 09:47:04.524901;Erro;Erro;
172.23.72.114;2022-12-16 09:52:14.054254;Erro;Erro;
172.23.72.114;2022-12-16 09:52:23.898242;Erro;Erro;
172.23.72.114;2022-12-16 09:52:25.489174;Erro;Erro;
172.23.72.114;2022-12-16 09:52:25.542600;Erro;Erro;
172.23.72.114;2022-12-16 09:52:28.311140;Erro;Erro;
172.23.72.114;2022-12-16 09:53:16.773888;Erro;Erro;
172.23.72.114;2022-12-16 09:53:44.274526;Erro;Erro;
172.23.72.114;2022-12-16 09:54:35.256437;Erro;Erro;
172.23.72.114;2022-12-16 09:54:36.509023;Erro;Erro;
172.23.72.114;2022-12-16 09:56:56.950236;Erro;Erro;
172.23.72.114;2022-12-16 09:56:57.720835;Erro;Erro;
172.23.72.114;2022-12-16 09:57:01.275925;Erro;Erro;
172.23.72.114;2022-12-16 09:57:25.240424;Erro;Erro;
172.23.72.114;2022-12-16 09:59:13.792066;Erro;Erro;
172.23.72.114;2022-12-16 09:59:19.928231;Erro;Erro;
172.23.72.114;2022-12-16 09:59:50.648140;Erro;Erro;
172.23.72.114;2022-12-16 10:00:21.384105;Erro;Erro;
172.23.72.114;2022-12-16 10:00:52.104084;Erro;Erro;
172.23.72.114;2022-12-16 10:01:20.760192;Erro;Erro;
172.23.72.114;2022-12-16 10:01:51.484155;Erro;Erro;
172.23.72.114;2022-12-16 10:02:22.200156;Erro;Erro;
172.23.72.114;2022-12-16 10:02:52.932125;Erro;Erro;
172.23.72.114;2022-12-16 10:03:21.604090;Erro;Erro;
172.23.72.114;2022-12-16 10:03:52.324114;Erro;Erro;
172.23.72.114;2022-12-16 10:04:23.040142;Erro;Erro;
172.23.72.114;2022-12-16 10:04:53.760204;Erro;Erro;
172.23.72.114;2022-12-16 10:05:24.484059;Erro;Erro;
172.23.72.114;2022-12-16 10:05:53.156109;Erro;Erro;
172.23.72.114;2022-12-16 10:06:23.872103;Erro;Erro;
172.23.72.114;2022-12-16 10:06:54.584121;Erro;Erro;
172.23.72.114;2022-12-16 10:07:25.320117;Erro;Erro;
172.23.72.114;2022-12-16 10:07:53.976124;Erro;Erro;
172.23.72.114;2022-12-16 10:08:24.696147;Erro;Erro;
172.23.72.114;2022-12-16 10:08:55.416115;Erro;Erro;
172.23.72.114;2022-12-16 10:09:26.148128;Erro;Erro;
172.23.72.114;2022-12-16 10:09:54.824106;Erro;Erro;
172.23.72.114;2022-12-16 10:10:25.528181;Erro;Erro;
172.23.72.114;2022-12-16 10:10:56.248165;Erro;Erro;
172.23.72.114;2022-12-16 10:11:26.976149;Erro;Erro;
172.23.72.114;2022-12-16 10:11:57.704197;Erro;Erro;
172.23.72.114;2022-12-16 10:12:26.368100;Erro;Erro;
172.23.72.114;2022-12-16 10:12:57.080174;Erro;Erro;
172.23.72.114;2022-12-16 10:13:27.812122;Erro;Erro;
172.23.72.114;2022-12-16 10:13:56.472129;Erro;Erro;
172.23.72.114;2022-12-16 10:14:27.204215;Erro;Erro;
172.23.72.114;2022-12-16 10:14:57.912171;Erro;Erro;
172.23.72.114;2022-12-16 10:15:28.632113;Erro;Erro;
172.23.72.114;2022-12-16 10:15:59.352125;Erro;Erro;
172.23.72.114;2022-12-16 10:16:28.024098;Erro;Erro;
172.23.72.114;2022-12-16 10:16:58.748268;Erro;Erro;
172.23.72.114;2022-12-16 10:17:29.464093;Erro;Erro;
172.23.72.114;2022-12-16 10:18:00.192187;Erro;Erro;
172.23.72.114;2022-12-16 10:18:30.904170;Erro;Erro;
172.23.72.114;2022-12-16 10:18:59.588101;Erro;Erro;
172.23.72.114;2022-12-16 10:19:30.296160;Erro;Erro;
172.23.72.114;2022-12-16 10:20:01.016159;Erro;Erro;
172.23.72.114;2022-12-16 10:20:31.736170;Erro;Erro;
172.23.72.114;2022-12-16 10:21:00.408108;Erro;Erro;
172.23.72.114;2022-12-16 10:21:31.128106;Erro;Erro;
172.23.72.114;2022-12-16 10:22:01.852134;Erro;Erro;
172.23.72.114;2022-12-16 10:22:32.576207;Erro;Erro;
172.23.72.114;2022-12-16 10:23:03.300195;Erro;Erro;
172.23.72.114;2022-12-16 10:23:31.972156;Erro;Erro;
172.23.72.114;2022-12-16 10:24:02.680226;Erro;Erro;
172.23.72.114;2022-12-16 10:24:33.400514;Erro;Erro;
172.23.72.114;2022-12-16 10:25:04.120104;Erro;Erro;
172.23.72.114;2022-12-16 10:25:32.792140;Erro;Erro;
172.23.72.114;2022-12-16 10:26:03.512219;Erro;Erro;
172.23.72.114;2022-12-16 10:26:34.232113;Erro;Erro;
172.23.72.114;2022-12-16 10:27:04.964101;Erro;Erro;
172.23.72.114;2022-12-16 10:27:33.624151;Erro;Erro;
172.23.72.114;2022-12-16 10:28:04.344162;Erro;Erro;
172.23.72.114;2022-12-16 10:28:35.064164;Erro;Erro;
172.23.72.114;2022-12-16 10:29:05.784101;Erro;Erro;
172.23.72.114;2022-12-16 10:29:36.504103;Erro;Erro;
172.23.72.114;2022-12-16 10:30:05.180248;Erro;Erro;
172.23.72.114;2022-12-16 10:30:35.896117;Erro;Erro;
172.23.72.114;2022-12-16 10:31:06.628121;Erro;Erro;
172.23.72.114;2022-12-16 10:31:37.352122;Erro;Erro;
172.23.72.114;2022-12-16 10:32:06.008160;Erro;Erro;
172.23.72.114;2022-12-16 10:32:36.728163;Erro;Erro;
