172.23.66.210;2023-08-25 09:32:43.624196;Erro;Erro;
172.23.66.210;2023-08-25 09:50:25.488935;Erro;Erro;
172.23.66.210;2023-08-25 09:51:27.681722;Erro;Erro;
172.23.66.210;2023-08-29 08:02:31.839686;Erro;Erro;
172.23.66.210;2023-08-29 08:08:07.076518;Erro;Erro;
172.23.66.210;2023-08-29 08:08:46.286449;Erro;Erro;
172.23.66.210;2023-08-29 08:17:03.942594;Erro;Erro;
172.23.66.210;2023-08-29 08:17:20.466546;Erro;Erro;
172.23.66.210;2023-08-29 12:03:55.362335;Erro;Erro;
172.23.66.210;2023-08-30 11:02:22.326533;Erro;Erro;
172.23.66.210;2023-08-30 11:03:31.958067;Erro;Erro;
172.23.66.210;2023-08-30 11:07:32.000648;Erro;Erro;
172.23.66.210;2023-08-30 11:08:24.825118;Erro;Erro;
172.23.66.210;2023-08-30 11:13:54.783292;Erro;Erro;
172.23.66.210;2023-08-30 11:18:12.546750;Erro;Erro;
172.23.66.210;2023-08-30 11:21:51.733180;Erro;Erro;
172.23.66.210;2023-08-30 11:26:14.175016;Erro;Erro;
172.23.66.210;2023-08-30 11:27:50.133271;Erro;Erro;
