172.23.72.214;2022-12-15 10:28:13.617171;-20.456295911;-43.931382543
172.23.72.214;2022-12-16 09:39:53.878419;-20.456616752;-43.925042947
172.23.72.214;2022-12-16 09:40:23.954088;-20.456617623;-43.925042689
172.23.72.214;2022-12-16 09:40:54.368656;-20.456618411;-43.925042470
172.23.72.214;2022-12-16 09:41:24.502091;-20.456618513;-43.925042481
172.23.72.214;2022-12-16 09:41:54.851033;-20.456618162;-43.925042589
172.23.72.214;2022-12-16 09:42:32.168178;-20.456617361;-43.925042822
172.23.72.214;2022-12-16 09:43:03.457471;-20.456616137;-43.925042347
172.23.72.214;2022-12-16 09:43:34.412594;-20.456615160;-43.925041847
172.23.72.214;2022-12-16 09:43:56.528400;-20.456614774;-43.925041495
172.23.72.214;2022-12-16 09:44:30.826000;-20.456614738;-43.925041556
172.23.72.214;2022-12-16 09:45:02.542191;-20.456614872;-43.925042101
172.23.72.214;2022-12-16 09:50:35.440299;-20.456818473;-43.924961804
172.23.72.214;2022-12-16 09:50:35.450020;-20.456818473;-43.924961804
172.23.72.214;2022-12-16 09:50:35.465586;-20.456818473;-43.924961804
172.23.72.214;2022-12-16 09:50:35.646565;-20.456818473;-43.924961804
172.23.72.214;2022-12-16 09:50:35.787250;-20.456818473;-43.924961804
172.23.72.214;2022-12-16 09:50:36.373888;-20.456818527;-43.924961746
172.23.72.214;2022-12-16 09:51:04.053693;-20.456818270;-43.924960355
172.23.72.214;2022-12-16 09:51:34.592539;-20.456818020;-43.924960154
172.23.72.214;2022-12-16 09:52:22.642064;-20.456696499;-43.925448309
172.23.72.214;2022-12-16 09:52:37.941512;-20.456165538;-43.925393298
172.23.72.214;2022-12-16 09:54:18.396185;-20.456410034;-43.922999567
172.23.72.214;2022-12-16 09:54:35.228093;-20.457039204;-43.923285312
172.23.72.214;2022-12-16 09:55:07.455233;-20.458136672;-43.924147185
172.23.72.214;2022-12-16 09:57:03.264686;-20.462933605;-43.928686721
172.23.72.214;2022-12-16 09:57:10.050660;-20.463374759;-43.928811981
172.23.72.214;2022-12-16 09:57:40.295946;-20.464710989;-43.929578875
172.23.72.214;2022-12-16 09:58:10.864604;-20.465655955;-43.930234081
172.23.72.214;2022-12-16 09:58:41.164522;-20.466042221;-43.930494426
172.23.72.214;2022-12-16 09:59:11.571556;-20.465987912;-43.930517938
172.23.72.214;2022-12-16 09:59:41.648989;-20.466041764;-43.930485803
172.23.72.214;2022-12-16 10:00:11.839446;-20.466039650;-43.930486048
172.23.72.214;2022-12-16 10:00:42.138739;-20.465850545;-43.930062897
172.23.72.214;2022-12-16 10:01:12.431996;-20.464584606;-43.929398998
172.23.72.214;2022-12-16 10:01:42.840615;-20.463483515;-43.928815230
172.23.72.214;2022-12-16 10:02:13.093239;-20.461557963;-43.926945176
172.23.72.214;2022-12-16 10:02:43.084874;-20.461749496;-43.925105504
172.23.72.214;2022-12-16 10:03:13.456152;-20.464623487;-43.926131151
172.23.72.214;2022-12-16 10:03:43.762710;-20.466404847;-43.925516443
172.23.72.214;2022-12-16 10:04:13.899448;-20.467872641;-43.923557009
172.23.72.214;2022-12-16 10:04:44.244660;-20.470893364;-43.923727910
172.23.72.214;2022-12-16 10:05:14.441861;-20.473333031;-43.923636137
172.23.72.214;2022-12-16 10:05:44.653952;-20.475181419;-43.922188670
172.23.72.214;2022-12-16 10:06:14.888442;-20.474311222;-43.920074150
172.23.72.214;2022-12-16 10:06:45.142197;-20.474028028;-43.918245644
172.23.72.214;2022-12-16 10:07:15.435236;-20.473211858;-43.918085398
172.23.72.214;2022-12-16 10:07:45.727744;-20.473052282;-43.919984300
172.23.72.214;2022-12-16 10:08:15.923639;-20.470397401;-43.920914387
172.23.72.214;2022-12-16 10:08:46.181908;-20.468361093;-43.919833180
172.23.72.214;2022-12-16 10:09:16.461559;-20.470613346;-43.919191087
172.23.72.214;2022-12-16 10:09:46.799087;-20.471513556;-43.918993586
172.23.72.214;2022-12-16 10:10:16.842007;-20.471481403;-43.918835712
172.23.72.214;2022-12-16 10:10:47.138140;-20.471483456;-43.918835558
172.23.72.214;2022-12-16 10:11:17.372378;-20.471482204;-43.918836232
172.23.72.214;2022-12-16 10:11:47.606774;-20.471481889;-43.918836540
172.23.72.214;2022-12-16 10:12:17.897166;-20.471482132;-43.918836456
172.23.72.214;2022-12-16 10:12:48.156798;-20.471482365;-43.918836423
