172.23.72.234;2023-11-20 15:06:13.314842;-20.470493986;-43.920828106
172.23.72.234;2023-11-20 15:06:28.508835;-20.470494143;-43.920828022
172.23.72.234;2023-11-20 15:06:48.138236;-20.470494326;-43.920827916
172.23.72.234;2023-11-20 15:07:03.324310;-20.470494450;-43.920827836
172.23.72.234;2023-11-20 15:07:22.650911;-20.470494591;-43.920827740
172.23.72.234;2023-11-20 15:07:38.164216;-20.470494704;-43.920827659
172.23.72.234;2023-11-20 15:07:57.532470;-20.470494852;-43.920827537
172.23.72.234;2023-11-20 15:08:12.954235;-20.470494977;-43.920827431
172.23.72.234;2023-11-20 15:08:32.047265;-20.470495140;-43.920827290
172.23.72.234;2023-11-20 15:08:47.379587;-20.470495271;-43.920827181
172.23.72.234;2023-11-20 15:09:06.784134;-20.470495430;-43.920827046
172.23.72.234;2023-11-20 15:09:22.142490;-20.470495548;-43.920826940
172.23.72.234;2023-11-20 15:09:41.804084;-20.470495696;-43.920826808
172.23.72.234;2023-11-20 15:09:56.528634;-20.470495808;-43.920826708
172.23.72.234;2023-11-20 15:10:16.272752;-20.470495959;-43.920826576
172.23.72.234;2023-11-20 15:10:31.100638;-20.470496077;-43.920826484
172.23.72.234;2023-11-20 15:10:50.979227;-20.470496235;-43.920826372
172.23.72.234;2023-11-20 15:11:06.481646;-20.470496356;-43.920826294
172.23.72.234;2023-11-20 15:11:25.648326;-20.470496493;-43.920826210
172.23.72.234;2023-11-20 15:11:40.541121;-20.470496581;-43.920826153
172.23.72.234;2023-11-20 15:12:00.468765;-20.470496682;-43.920826087
172.23.72.234;2023-11-20 15:12:15.860109;-20.470496754;-43.920826043
172.23.72.234;2023-11-20 15:12:35.382866;-20.470496844;-43.920825991
172.23.72.234;2023-11-20 15:12:50.286144;-20.470496920;-43.920825948
172.23.72.234;2023-11-20 15:13:09.721309;-20.470497020;-43.920825885
172.23.72.234;2023-11-20 15:13:24.255285;-20.470497090;-43.920825836
172.23.72.234;2023-11-20 15:13:43.640716;-20.470497172;-43.920825778
172.23.72.234;2023-11-20 15:13:59.251531;-20.470497223;-43.920825737
172.23.72.234;2023-11-20 15:14:19.259131;-20.470497274;-43.920825690
172.23.72.234;2023-11-20 15:14:34.388708;-20.470497313;-43.920825658
172.23.72.234;2023-11-20 15:14:53.978373;-20.470497386;-43.920825615
172.23.72.234;2023-11-20 15:15:08.542865;-20.470497468;-43.920825580
172.23.72.234;2023-11-20 15:15:28.542413;-20.470497608;-43.920825530
172.23.72.234;2023-11-20 15:15:43.129202;-20.470497718;-43.920825492
172.23.72.234;2023-11-20 15:16:03.194019;-20.470497863;-43.920825440
172.23.72.234;2023-11-20 15:16:17.915303;-20.470497960;-43.920825401
172.23.72.234;2023-11-20 15:16:37.581434;-20.470498067;-43.920825344
172.23.72.234;2023-11-20 15:16:52.740695;-20.470498145;-43.920825297
172.23.72.234;2023-11-20 15:17:12.229890;-20.470498252;-43.920825235
172.23.72.234;2023-11-20 15:17:27.951254;-20.470498351;-43.920825181
172.23.72.234;2023-11-20 15:17:47.346113;-20.470498486;-43.920825117
172.23.72.234;2023-11-20 15:18:02.260708;-20.470498594;-43.920825068
172.23.72.234;2023-11-20 15:18:22.252773;-20.470498724;-43.920825006
172.23.72.234;2023-11-20 15:18:36.904733;-20.470498803;-43.920824968
172.23.72.234;2023-11-20 15:18:56.330884;-20.470498882;-43.920824924
172.23.72.234;2023-11-20 15:19:11.839568;-20.470498932;-43.920824895
172.23.72.234;2023-11-20 15:19:31.150180;-20.470498993;-43.920824862
172.23.72.234;2023-11-20 15:19:46.350808;-20.470499049;-43.920824838
172.23.72.234;2023-11-20 15:20:05.640725;-20.470499132;-43.920824813
172.23.72.234;2023-11-20 15:20:21.144347;-20.470499210;-43.920824797
172.23.72.234;2023-11-20 15:20:40.412721;-20.470499307;-43.920824779
172.23.72.234;2023-11-20 15:20:55.726713;-20.470499372;-43.920824767
172.23.72.234;2023-11-20 15:21:15.115330;-20.470499429;-43.920824752
172.23.72.234;2023-11-20 15:21:30.398487;-20.470499460;-43.920824741
172.23.72.234;2023-11-20 15:21:49.911851;-20.470499504;-43.920824723
172.23.72.234;2023-11-20 15:22:05.102232;-20.470499554;-43.920824708
172.23.72.234;2023-11-20 15:22:24.628679;-20.470499638;-43.920824690
172.23.72.234;2023-11-20 15:22:39.697635;-20.470499713;-43.920824678
172.23.72.234;2023-11-20 15:22:59.378217;-20.470499809;-43.920824666
172.23.72.234;2023-11-20 15:23:14.738644;-20.470499876;-43.920824660
172.23.72.234;2023-11-20 15:23:33.553223;-20.470499947;-43.920824649
172.23.72.234;2023-11-20 15:23:49.535697;-20.470500006;-43.920824635
172.23.72.234;2023-11-20 15:24:08.037416;-20.470500083;-43.920824615
172.23.72.234;2023-11-20 15:24:24.280683;-20.470500161;-43.920824600
172.23.72.234;2023-11-20 15:24:42.890208;-20.470500255;-43.920824592
172.23.72.234;2023-11-20 15:24:58.917707;-20.470500339;-43.920824596
172.23.72.234;2023-11-20 15:25:17.792244;-20.470500436;-43.920824609
172.23.72.234;2023-11-20 15:25:33.456934;-20.470500508;-43.920824624
172.23.72.234;2023-11-20 15:25:52.480604;-20.470500574;-43.920824643
172.23.72.234;2023-11-20 15:26:08.524000;-20.470500622;-43.920824656
172.23.72.234;2023-11-20 15:26:26.689697;-20.470500689;-43.920824665
172.23.72.234;2023-11-20 15:26:43.058727;-20.470500770;-43.920824670
172.23.72.234;2023-11-20 15:27:01.593067;-20.470500884;-43.920824676
172.23.72.234;2023-11-20 15:27:18.096708;-20.470501001;-43.920824685
172.23.72.234;2023-11-20 15:27:36.646296;-20.470501131;-43.920824695
