172.23.72.14;2023-10-23 11:27:27.372623;Erro;Erro;
172.23.72.14;2023-10-23 11:28:00.124744;Erro;Erro;
172.23.72.14;2023-10-23 11:28:34.940658;Erro;Erro;
172.23.72.14;2023-10-23 11:29:07.708630;Erro;Erro;
172.23.72.14;2023-10-23 11:29:42.524929;Erro;Erro;
172.23.72.14;2023-10-23 11:30:19.388736;Erro;Erro;
172.23.72.14;2023-10-23 11:30:54.204948;Erro;Erro;
172.23.72.14;2023-10-23 11:31:26.972934;Erro;Erro;
172.23.72.14;2023-10-23 11:32:01.788895;Erro;Erro;
172.23.72.14;2023-10-23 11:32:34.560562;Erro;Erro;
172.23.72.14;2023-10-23 11:33:09.372921;Erro;Erro;
172.23.72.14;2023-10-23 11:33:42.140909;Erro;Erro;
172.23.72.14;2023-10-23 11:34:19.004774;Erro;Erro;
172.23.72.14;2023-10-23 11:34:53.828894;Erro;Erro;
172.23.72.14;2023-10-23 11:35:26.588886;Erro;Erro;
172.23.72.14;2023-10-23 11:36:01.404886;Erro;Erro;
172.23.72.14;2023-10-23 11:36:34.172637;Erro;Erro;
172.23.72.14;2023-10-23 11:37:08.988620;Erro;Erro;
172.23.72.14;2023-10-23 11:37:41.756749;Erro;Erro;
172.23.72.14;2023-10-23 11:38:18.621088;Erro;Erro;
172.23.72.14;2023-10-23 11:38:53.452612;Erro;Erro;
172.23.72.14;2023-10-23 11:39:28.252907;Erro;Erro;
172.23.72.14;2023-10-23 11:40:01.020866;Erro;Erro;
172.23.72.14;2023-10-23 11:40:35.836638;Erro;Erro;
172.23.72.14;2023-10-23 11:41:08.605134;Erro;Erro;
172.23.72.14;2023-10-23 11:41:43.420898;Erro;Erro;
172.23.72.14;2023-10-23 11:42:20.284898;Erro;Erro;
172.23.72.14;2023-10-23 11:42:53.052952;Erro;Erro;
172.23.72.14;2023-10-23 11:43:27.876677;Erro;Erro;
172.23.72.14;2023-10-23 11:44:00.636886;Erro;Erro;
172.23.72.14;2023-10-23 11:44:35.452566;Erro;Erro;
172.23.72.14;2023-10-23 11:45:08.221164;Erro;Erro;
172.23.72.14;2023-10-23 11:45:43.037049;Erro;Erro;
172.23.72.14;2023-10-23 11:46:19.900974;Erro;Erro;
172.23.72.14;2023-10-23 11:46:52.668939;Erro;Erro;
172.23.72.14;2023-10-23 11:47:27.484768;Erro;Erro;
172.23.72.14;2023-10-23 11:48:02.300892;Erro;Erro;
172.23.72.14;2023-10-23 11:48:35.068646;Erro;Erro;
172.23.72.14;2023-10-23 11:49:09.884896;Erro;Erro;
172.23.72.14;2023-10-23 11:49:42.656955;Erro;Erro;
172.23.72.14;2023-10-23 11:50:19.516959;Erro;Erro;
172.23.72.14;2023-10-23 11:50:52.284953;Erro;Erro;
172.23.72.14;2023-10-23 11:51:27.112623;Erro;Erro;
172.23.72.14;2023-10-23 11:51:59.868931;Erro;Erro;
172.23.72.14;2023-10-23 11:52:34.692657;Erro;Erro;
172.23.72.14;2023-10-23 11:53:07.453167;Erro;Erro;
172.23.72.14;2023-10-23 11:53:42.268918;Erro;Erro;
172.23.72.14;2023-10-23 11:54:19.132792;Erro;Erro;
172.23.72.14;2023-10-23 11:54:51.900741;Erro;Erro;
172.23.72.14;2023-10-23 11:55:26.724931;Erro;Erro;
172.23.72.14;2023-10-23 11:56:01.532898;Erro;Erro;
172.23.72.14;2023-10-23 11:56:34.300693;Erro;Erro;
172.23.72.14;2023-10-23 11:57:09.116914;Erro;Erro;
172.23.72.14;2023-10-23 11:57:41.884960;Erro;Erro;
172.23.72.14;2023-10-23 11:58:18.748970;Erro;Erro;
172.23.72.14;2023-10-23 11:58:51.516766;Erro;Erro;
