172.23.72.194;2022-12-16 10:34:37.568153;Erro;Erro;
172.23.72.194;2022-12-16 10:35:08.296130;Erro;Erro;
172.23.72.194;2022-12-16 10:35:39.004273;Erro;Erro;
172.23.72.194;2022-12-16 10:36:09.720147;Erro;Erro;
172.23.72.194;2022-12-16 10:36:38.404135;Erro;Erro;
172.23.72.194;2022-12-16 10:37:09.120095;Erro;Erro;
172.23.72.194;2022-12-16 10:37:39.832148;Erro;Erro;
172.23.72.194;2022-12-16 10:38:10.568088;Erro;Erro;
172.23.72.194;2022-12-16 10:38:39.232146;Erro;Erro;
172.23.72.194;2022-12-16 10:39:09.952093;Erro;Erro;
172.23.72.194;2022-12-16 10:39:40.672087;Erro;Erro;
172.23.72.194;2022-12-16 10:40:11.400134;Erro;Erro;
172.23.72.194;2022-12-16 10:40:40.060193;Erro;Erro;
172.23.72.194;2022-12-16 10:41:10.776203;Erro;Erro;
172.23.72.194;2022-12-16 10:41:41.504104;Erro;Erro;
172.23.72.194;2022-12-16 10:42:12.235860;Erro;Erro;
172.23.72.194;2022-12-16 10:42:42.936138;Erro;Erro;
172.23.72.194;2022-12-16 10:43:11.620083;Erro;Erro;
172.23.72.194;2022-12-16 10:43:42.340059;Erro;Erro;
172.23.72.194;2022-12-16 10:44:13.048145;Erro;Erro;
172.23.72.194;2022-12-16 10:44:43.768205;Erro;Erro;
172.23.72.194;2022-12-16 10:45:12.444153;Erro;Erro;
172.23.72.194;2022-12-16 10:45:43.172183;Erro;Erro;
172.23.72.194;2022-12-16 10:46:13.880186;Erro;Erro;
172.23.72.194;2022-12-16 10:46:44.600166;Erro;Erro;
172.23.72.194;2022-12-16 10:47:13.272259;Erro;Erro;
172.23.72.194;2022-12-16 10:47:43.992172;Erro;Erro;
172.23.72.194;2022-12-16 10:48:14.732678;Erro;Erro;
172.23.72.194;2022-12-16 10:48:45.432219;Erro;Erro;
172.23.72.194;2022-12-16 10:49:16.156149;Erro;Erro;
172.23.72.194;2022-12-16 10:49:44.824123;Erro;Erro;
172.23.72.194;2022-12-16 10:50:15.548228;Erro;Erro;
172.23.72.194;2022-12-16 10:50:46.264130;Erro;Erro;
172.23.72.194;2022-12-16 10:51:16.988230;Erro;Erro;
172.23.72.194;2022-12-16 10:51:45.668141;Erro;Erro;
172.23.72.194;2022-12-16 10:52:16.384136;Erro;Erro;
172.23.72.194;2022-12-16 10:52:47.096223;Erro;Erro;
172.23.72.194;2022-12-16 10:53:17.816266;Erro;Erro;
172.23.72.194;2022-12-16 10:53:48.536118;Erro;Erro;
172.23.72.194;2022-12-16 10:54:17.208107;Erro;Erro;
172.23.72.194;2022-12-16 10:54:47.928671;Erro;Erro;
172.23.72.194;2022-12-16 10:55:18.660065;Erro;Erro;
172.23.72.194;2022-12-16 10:55:47.328176;Erro;Erro;
172.23.72.194;2022-12-16 10:56:18.052080;Erro;Erro;
172.23.72.194;2022-12-16 10:56:48.776081;Erro;Erro;
172.23.72.194;2022-12-16 10:57:19.488144;Erro;Erro;
172.23.72.194;2022-12-16 10:57:50.216130;Erro;Erro;
172.23.72.194;2022-12-16 10:58:18.872135;Erro;Erro;
172.23.72.194;2022-12-16 10:58:49.592141;Erro;Erro;
172.23.72.194;2022-12-16 10:59:20.320106;Erro;Erro;
172.23.72.194;2022-12-16 10:59:51.036100;Erro;Erro;
172.23.72.194;2022-12-16 11:00:21.752101;Erro;Erro;
172.23.72.194;2022-12-16 11:00:50.444156;Erro;Erro;
172.23.72.194;2022-12-16 11:01:21.156050;Erro;Erro;
172.23.72.194;2022-12-16 11:01:51.864129;Erro;Erro;
172.23.72.194;2022-12-16 11:02:22.596086;Erro;Erro;
172.23.72.194;2022-12-16 11:02:51.276143;Erro;Erro;
172.23.72.194;2022-12-16 11:03:21.988132;Erro;Erro;
172.23.72.194;2022-12-16 11:03:52.703432;Erro;Erro;
172.23.72.194;2022-12-16 11:04:23.432125;Erro;Erro;
172.23.72.194;2022-12-16 11:04:52.092124;Erro;Erro;
172.23.72.194;2022-12-16 11:05:22.820075;Erro;Erro;
172.23.72.194;2022-12-16 11:05:53.536163;Erro;Erro;
172.23.72.194;2022-12-16 11:06:24.248252;Erro;Erro;
172.23.72.194;2022-12-16 11:06:54.968172;Erro;Erro;
172.23.72.194;2022-12-16 11:07:23.648092;Erro;Erro;
172.23.72.194;2022-12-16 11:07:54.360125;Erro;Erro;
172.23.72.194;2022-12-16 11:08:25.080534;Erro;Erro;
172.23.72.194;2022-12-16 11:08:55.800139;Erro;Erro;
172.23.72.194;2022-12-16 11:09:24.480100;Erro;Erro;
172.23.72.194;2022-12-16 11:09:55.196608;Erro;Erro;
172.23.72.194;2022-12-16 11:10:25.928116;Erro;Erro;
172.23.72.194;2022-12-16 11:10:56.640174;Erro;Erro;
172.23.72.194;2022-12-16 11:11:27.352177;Erro;Erro;
172.23.72.194;2022-12-16 11:11:56.024134;Erro;Erro;
172.23.72.194;2022-12-16 11:12:26.744094;Erro;Erro;
172.23.72.194;2022-12-16 11:12:57.476139;Erro;Erro;
172.23.72.194;2022-12-16 11:13:28.184158;Erro;Erro;
172.23.72.194;2022-12-16 11:13:56.864099;Erro;Erro;
172.23.72.194;2022-12-16 11:14:27.588062;Erro;Erro;
172.23.72.194;2022-12-16 11:14:58.304106;Erro;Erro;
172.23.72.194;2022-12-16 11:15:29.032121;Erro;Erro;
172.23.72.194;2022-12-16 11:15:57.688188;Erro;Erro;
172.23.72.194;2022-12-16 11:16:28.424091;Erro;Erro;
172.23.72.194;2022-12-16 11:16:59.128114;Erro;Erro;
172.23.72.194;2022-12-16 11:17:29.864924;Erro;Erro;
172.23.72.194;2022-12-16 11:18:00.568103;Erro;Erro;
172.23.72.194;2022-12-16 11:18:29.240107;Erro;Erro;
172.23.72.194;2022-12-16 11:18:59.972079;Erro;Erro;
172.23.72.194;2022-12-16 11:19:30.680151;Erro;Erro;
172.23.72.194;2022-12-16 11:20:01.411515;Erro;Erro;
172.23.72.194;2022-12-16 11:20:30.072159;Erro;Erro;
172.23.72.194;2022-12-16 11:21:00.792253;Erro;Erro;
172.23.72.194;2022-12-16 11:21:31.520142;Erro;Erro;
172.23.72.194;2022-12-16 11:22:02.244116;Erro;Erro;
172.23.72.194;2022-12-16 11:22:32.966937;Erro;Erro;
172.23.72.194;2022-12-16 11:23:01.632131;Erro;Erro;
172.23.72.194;2022-12-16 11:23:32.352083;Erro;Erro;
172.23.72.194;2022-12-16 11:24:03.076119;Erro;Erro;
172.23.72.194;2022-12-16 11:24:33.788200;Erro;Erro;
172.23.72.194;2022-12-16 11:25:02.456137;Erro;Erro;
172.23.72.194;2022-12-16 11:25:33.196112;Erro;Erro;
172.23.72.194;2022-12-16 11:26:03.904162;Erro;Erro;
172.23.72.194;2022-12-16 11:26:34.628186;Erro;Erro;
172.23.72.194;2022-12-16 11:27:05.336267;Erro;Erro;
172.23.72.194;2022-12-16 11:27:34.012150;Erro;Erro;
172.23.72.194;2022-12-16 11:28:04.728219;Erro;Erro;
172.23.72.194;2022-12-16 11:28:35.448160;Erro;Erro;
172.23.72.194;2022-12-16 11:29:06.168111;Erro;Erro;
172.23.72.194;2022-12-16 11:29:34.852107;Erro;Erro;
172.23.72.194;2022-12-16 11:30:05.576101;Erro;Erro;
172.23.72.194;2022-12-16 11:30:36.280215;Erro;Erro;
172.23.72.194;2022-12-16 11:31:07.000195;Erro;Erro;
172.23.72.194;2022-12-16 11:31:35.684226;Erro;Erro;
172.23.72.194;2022-12-16 11:32:06.392147;Erro;Erro;
172.23.72.194;2022-12-16 11:32:37.128227;Erro;Erro;
172.23.72.194;2022-12-16 11:33:07.840128;Erro;Erro;
172.23.72.194;2022-12-16 11:33:38.552108;Erro;Erro;
172.23.72.194;2022-12-16 11:34:07.240121;Erro;Erro;
172.23.72.194;2022-12-16 11:34:37.952177;Erro;Erro;
172.23.72.194;2022-12-16 11:35:08.676128;Erro;Erro;
172.23.72.194;2022-12-16 11:35:39.392091;Erro;Erro;
172.23.72.194;2022-12-16 11:36:08.060132;Erro;Erro;
172.23.72.194;2022-12-16 11:36:38.788084;Erro;Erro;
172.23.72.194;2022-12-16 11:37:09.500253;Erro;Erro;
172.23.72.194;2022-12-16 11:37:40.232132;Erro;Erro;
172.23.72.194;2022-12-16 11:38:10.940261;Erro;Erro;
172.23.72.194;2022-12-16 11:38:39.620088;Erro;Erro;
172.23.72.194;2022-12-16 11:39:10.340084;Erro;Erro;
172.23.72.194;2022-12-16 11:39:41.052214;Erro;Erro;
172.23.72.194;2022-12-16 11:40:11.772217;Erro;Erro;
172.23.72.194;2022-12-16 11:40:40.460170;Erro;Erro;
172.23.72.194;2022-12-16 11:41:11.172102;Erro;Erro;
172.23.72.194;2022-12-16 11:41:41.892138;Erro;Erro;
172.23.72.194;2022-12-16 11:42:12.600170;Erro;Erro;
172.23.72.194;2022-12-16 11:42:41.272570;Erro;Erro;
172.23.72.194;2022-12-16 11:43:12.016221;Erro;Erro;
172.23.72.194;2022-12-16 11:43:42.712159;Erro;Erro;
172.23.72.194;2022-12-16 11:44:13.432258;Erro;Erro;
172.23.72.194;2022-12-16 11:44:44.160280;Erro;Erro;
