Horario,Lat,Lon,Rssi,Custo,Equipamento Melhor RSSI,Equipamento Melhor Custo
2023-11-21 09:17,-20.475879665,-43.922635351,-93,46145,CM-7927,CM-7927
2023-11-21 09:17,-20.470743621,-43.940669136,-85,87284,CM-7921,CM-7921
2023-11-21 09:17,-20.483144999999997,-43.91701166666667,-64,0,PM-9909,Gateway
