IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,77451,-87,172.23.66.19,UMR 41 - 17 L link
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,83413,-93,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87287,-94,172.23.66.46,UFR 04 - Vila 2
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,86037,-91,172.23.66.65,UMR 24 -15K | Acima Lavador de báscula
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,82149,-89,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,79102,-84,172.23.67.106,CM-7904
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87367,-82,172.23.67.127,CM-7925
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87375,-83,172.23.67.112,CM-7910
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,85857,-84,172.23.66.220,RadioTabletmina
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,56849,-65,172.23.66.225,UMR Guarita A40
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,87374,-95,172.23.67.102,CM-7902
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,66077,-98,172.23.66.31,UMR 11 - Estrada abaixo 1080 
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,0,-98,0.0.0.0,Gateway
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,87588,-97,172.23.67.144,Desconhecido
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,86038,-83,172.23.66.24,UMR 35 - Vila Sub Estacão 
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,72711,-84,172.23.66.61,UMR 34 - 4H Estacionamento
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,87287,-87,172.23.66.46,UFR 04 - Vila 2
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,87282,-93,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,0,-94,0.0.0.0,Gateway
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,87587,-85,172.23.67.201,ES-5501
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,66077,-96,172.23.66.31,UMR 11 - Estrada abaixo 1080 
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,82150,-86,172.23.66.83,UMR 10 - 10N
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,68684,-77,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,86038,-90,172.23.66.24,UMR 35 - Vila Sub Estacão 
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,83368,-89,172.23.66.244,UMR 15 - PCN1 TREVO PCOL
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,87584,-89,172.23.67.142,CM-7937
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,42949,-89,172.23.67.160,CM-7954
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917051666666666,42,46148,-86,172.23.67.122,CM-7920
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,85857,-84,172.23.66.220,RadioTabletmina
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,56849,-65,172.23.66.225,UMR Guarita A40
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,87374,-95,172.23.67.102,CM-7902
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,83364,-94,172.23.67.149,CM-7943
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,93565,-68,172.23.66.13,UFR 02 - Britador
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,87593,-94,172.23.67.129,Desconhecido
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,82151,-83,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,82150,-84,172.23.66.83,UMR 10 - 10N
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,77451,-85,172.23.66.19,UMR 41 - 17 L link
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,72710,-87,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,0,-92,172.23.66.76,UMR 18 - Patio de Sucata
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,47472,-66,172.23.67.72,TP-8503
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,87587,-85,172.23.67.201,ES-5501
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,87375,-88,172.23.67.112,CM-7910
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,87584,-84,172.23.67.142,CM-7937
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,77446,-84,172.23.66.41,UMR 14 - 4H Estrada sentido Batateiro
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,72710,-95,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,46149,-95,172.23.67.136,CM-7932
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,82150,-87,172.23.66.83,UMR 10 - 10N
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,85231,-85,172.23.66.16,UFR 06 - 13N
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,77451,-87,172.23.66.19,UMR 41 - 17 L link
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,83413,-93,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,86038,-91,172.23.66.24,UMR 35 - Vila Sub Estacão 
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,90982,-77,172.23.67.92,PE-6211
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,79102,-90,172.23.67.106,CM-7904
172.23.66.14,2023-11-22,10:02,LX5,-20.475649999999998,-43.917055,42,87367,-96,172.23.67.127,CM-7925
